ClaimNumber,DateReceived,IncidentDate,AirportCode,AirportName,AirlineName,ClaimType,ClaimSite,ItemCategory,CloseAmount,Disposition,Lat,Long,-,Audio/Video,Automobile Parts & Accessories,Baggage/Cases/Purses,"Books, Magazines & Other",Cameras,Clothing,Computer & Accessories,Cosmetics & Grooming,Crafting & Hobby,Currency,Food & Drink,Home Decor,Household Items,Hunting & Fishing Items,Jewelry & Watches,Medical/Science,Musical Instruments & Accessories,Office Equipment & Supplies,Other,Outdoor Items,Personal Accessories,Personal Documents,Personal Electronics,Personal Navigation,Sporting Equipment & Supplies,Tools & Home Improvement Supplies,Toys & Games,Travel Accessories
2015080000000,5-Aug-15,9-Jun-15,TXK,Texarkana Regional Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,1,33.453722,-93.991028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015090000000,17-Sep-15,11-Jul-15,TXK,Texarkana Regional Airport,American Airlines  ,Property Damage,Checked Baggage,-,$125.00 ,0,33.453722,-93.991028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016010000000,28-Dec-15,12-Dec-15,TXK,Texarkana Regional Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,$19.99 ,0,33.453722,-93.991028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015030000000,10-Mar-15,22-Nov-14,TVC,Cherry Capital Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,$222.88 ,0,44.741445,-85.582235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015050000000,14-May-15,30-Apr-15,TVC,Cherry Capital Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Clothing,$15.00 ,0,44.741445,-85.582235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015110000000,6-Nov-15,14-Aug-15,TVC,Cherry Capital Airport,UAL  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,1,44.741445,-85.582235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015010000000,2-Jan-15,25-Oct-14,TUS,Tucson International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Musical Instruments & Accessories; Musical Instruments & Accessories,$0.00 ,1,32.116083,-110.941028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015010000000,5-Jan-15,28-Dec-14,TUS,Tucson International,Delta Air Lines  ,Property Damage,Checkpoint,Personal Electronics,"$1,059.00 ",0,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015010000000,15-Jan-15,14-Dec-14,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,1,32.116083,-110.941028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015010000000,22-Jan-15,21-Nov-14,TUS,Tucson International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Food & Drink,$0.00 ,1,32.116083,-110.941028,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015020000000,9-Feb-15,5-Feb-15,TUS,Tucson International,UAL  ,Passenger Property Loss,Checked Baggage,-,$168.00 ,0,32.116083,-110.941028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015040000000,16-Apr-15,6-Apr-15,TUS,Tucson International,Alaska Airlines  ,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,-,1,32.116083,-110.941028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015050000000,1-May-15,10-Mar-15,TUS,Tucson International,USAir  ,Property Damage,Checked Baggage,Medical/Science,$65.00 ,0,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,7-Jul-15,12-Jun-15,TUS,Tucson International,Delta Air Lines  ,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,$53.47 ,0,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015070000000,13-Jul-15,27-Jun-15,TUS,Tucson International,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,$29.00 ,0,32.116083,-110.941028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,16-Jul-15,4-Jun-15,TUS,Tucson International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,1,32.116083,-110.941028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015070000000,27-Jul-15,2-Jul-15,TUS,Tucson International,Delta Air Lines  ,Property Damage,Checked Baggage,Food & Drink,$0.00 ,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,18-Sep-15,20-Aug-15,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Currency,$0.00 ,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015100000000,25-Sep-15,17-Sep-15,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,$253.25 ,0,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015110000000,14-Oct-15,8-Oct-15,TUS,Tucson International,USAir  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,1,32.116083,-110.941028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
